iter	RMSE
0	0.4556905415
1	0.451689785
2	0.4474477707
3	0.4434005963
4	0.439980575
5	0.4362632919
6	0.4329191253
7	0.4297876437
8	0.4267413385
9	0.4240393184
10	0.421369539
11	0.4186433483
12	0.4159617318
13	0.4136829251
14	0.4112270332
15	0.4087642982
16	0.4063030847
17	0.4039490113
18	0.40196343
19	0.3999229577
20	0.3982577171
21	0.3965700301
22	0.3948692403
23	0.3930632469
24	0.3913356595
25	0.3900283531
26	0.3885811695
27	0.3870922216
28	0.3856141295
29	0.3841278967
30	0.3827442578
31	0.3813928078
32	0.3802523174
33	0.3790247993
34	0.3778592529
35	0.3768948536
36	0.3760716486
37	0.3752121636
38	0.3743861286
39	0.3730412238
40	0.3721459528
41	0.3711654715
42	0.3702130168
43	0.3693113897
44	0.3683257482
45	0.3673450735
46	0.366723989
47	0.3662690001
48	0.3654038515
49	0.3645815935
50	0.3637238522
51	0.3630662409
52	0.3623331943
53	0.3617762748
54	0.3614632517
55	0.3607840132
56	0.360118514
57	0.3590496647
58	0.3587648328
59	0.3582418541
60	0.3577087263
61	0.3569787586
62	0.3562398296
63	0.3554565346
64	0.3547491114
65	0.354424801
66	0.3539954529
67	0.3534975017
68	0.3526046559
69	0.3520763557
70	0.3516952985
71	0.3510779982
72	0.3505532487
73	0.3501815678
74	0.3496774649
75	0.3489593662
76	0.3485731969
77	0.3480163607
78	0.3475305303
79	0.3471756355
80	0.3471337863
81	0.3466782844
82	0.3464380213
83	0.3460065233
84	0.3458523199
85	0.3451784416
86	0.3447654368
87	0.3446645233
88	0.3441184442
89	0.3437827801
90	0.3433936059
91	0.3432352683
92	0.3429453719
93	0.3424515047
94	0.3420016931
95	0.3414313754
96	0.3409453566
97	0.3400923416
98	0.3395418455
99	0.3393620569
100	0.3388921006
101	0.3384703709
102	0.3378228458
103	0.3375125688
104	0.3373581395
105	0.3366732501
106	0.3358034956
107	0.3352736971
108	0.3344881341
109	0.3342408767
110	0.3338608007
111	0.3337042307
112	0.3332770315
113	0.3328298971
114	0.3323949466
115	0.332088583
116	0.3316310949
117	0.330965334
118	0.3303921647
119	0.3302207431
120	0.3301214394
121	0.3294730825
122	0.3291604555
123	0.3286893543
124	0.3283867518
125	0.3278390692
126	0.327480145
127	0.3270768817
128	0.3267436295
129	0.3263094857
130	0.3260440402
131	0.3257500967
132	0.3253994102
133	0.3250905763
134	0.3247394474
135	0.3244879053
136	0.3241508868
137	0.3233648649
138	0.3228717125
139	0.3222926098
140	0.3216952017
141	0.3212492826
142	0.321045337
143	0.3204510017
144	0.3198480524
145	0.3191389567
146	0.3186125284
147	0.31837264
148	0.317976681
149	0.3176780941
150	0.3171897816
151	0.3168059269
152	0.3164156769
153	0.3160628768
154	0.3156836912
155	0.3151439898
156	0.3146421158
157	0.3138058642
158	0.3137441082
159	0.3132828597
160	0.3128535309
161	0.3126019488
162	0.3120190787
163	0.3117662889
164	0.3114501505
165	0.3111212852
166	0.3104070319
167	0.3094348729
168	0.3089811499
169	0.3085449634
170	0.3080318132
171	0.3075134299
172	0.307421575
173	0.3070907255
174	0.3068538004
175	0.30605224
176	0.3058306839
177	0.3056609074
178	0.305401083
179	0.3051024987
180	0.3048533217
181	0.3044142651
182	0.3040313467
183	0.3036009972
184	0.3035142628
185	0.3032377437
186	0.3026348664
187	0.3016772312
188	0.3012647838
189	0.3009045888
190	0.3005591068
191	0.3002523173
192	0.2997751904
193	0.2993035202
194	0.2991134808
195	0.2986243064
196	0.2982827367
197	0.2980607725
198	0.2971834203
199	0.2969416385
200	0.2966721822
201	0.2963854913
202	0.2960226962
203	0.2958561901
204	0.2956882575
205	0.2952815177
206	0.2945835937
207	0.2942242956
208	0.2939105873
209	0.2937527823
210	0.2935751604
211	0.2933463259
212	0.2932535318
213	0.29307505
214	0.2930241241
215	0.2928570819
216	0.2926967847
217	0.2926012978
218	0.2922382592
219	0.2920075658
220	0.2917863392
221	0.291653122
222	0.2914094684
223	0.2913142981
224	0.2911394336
225	0.2907340755
226	0.2906127713
227	0.2904247231
228	0.2895891369
229	0.2890970477
230	0.2887381659
231	0.2880908242
232	0.2879273344
233	0.2874037777
234	0.2872501803
235	0.2871590177
236	0.2870292028
237	0.2867430299
238	0.2866311276
239	0.2864136316
240	0.2861106992
241	0.2859770754
242	0.2858072864
243	0.2854553797
244	0.2853362289
245	0.2851732815
246	0.2850711629
247	0.2846109314
248	0.2845139404
249	0.2844346012
250	0.2838471577
251	0.2832930442
252	0.283218515
253	0.2830135331
254	0.2826158266
255	0.2825106804
256	0.2823325339
257	0.2822615281
258	0.2821084841
259	0.2816272151
260	0.2811381962
261	0.2810813657
262	0.2809404787
263	0.2807169123
264	0.2804516008
265	0.2798442722
266	0.279461181
267	0.2794127622
268	0.2789768321
269	0.2789352612
270	0.2788219282
271	0.2783129314
272	0.2782155095
273	0.2779802601
274	0.2771889264
275	0.2768473993
276	0.2762515149
277	0.2760671447
278	0.2758348981
279	0.2751519935
280	0.2750754821
281	0.2746031599
282	0.2743687008
283	0.2743161756
284	0.2740276177
285	0.2735053834
286	0.2734455293
287	0.2729914982
288	0.2729380434
289	0.2725846702
290	0.2719926824
291	0.2711879267
292	0.2709144972
293	0.2704634881
294	0.2700356442
295	0.269633964
296	0.2695426816
297	0.2694475776
298	0.2689908463
299	0.2687365434
300	0.2683633687
301	0.267797859
302	0.2676795353
303	0.2673075324
304	0.2665587775
305	0.2664334145
306	0.2660825739
307	0.2657994448
308	0.2654717871
309	0.2651709895
310	0.2651066612
311	0.264574256
312	0.2644574427
313	0.2643404691
314	0.2642917414
315	0.2639196207
316	0.2634721574
317	0.2633658325
318	0.2626983129
319	0.262649928
320	0.2623658845
321	0.2619611705
322	0.2619155212
323	0.2612757526
324	0.260798814
325	0.2603301852
326	0.2602120227
327	0.2600510286
328	0.2598580346
329	0.2594878568
330	0.2591601758
331	0.2591135743
332	0.2585954146
333	0.2581413223
334	0.2578941776
335	0.257604943
336	0.25734461
337	0.2567436787
338	0.2563182615
339	0.2560003032
340	0.2559377107
341	0.2556076715
342	0.2554529638
343	0.2548427289
344	0.2543455008
345	0.2540515925
346	0.2536453399
347	0.2536119127
348	0.2533216453
349	0.2531577784
350	0.2528109899
351	0.2527543673
352	0.2524652797
353	0.2523271966
354	0.2521663793
355	0.2516131789
356	0.2514917776
357	0.2510735931
358	0.2508416095
359	0.2505510376
360	0.250222482
361	0.2499492228
362	0.2496921113
363	0.2495370203
364	0.2491021812
365	0.2489154498
366	0.2487190215
367	0.2482542277
368	0.2476488711
369	0.2471856712
370	0.2466574943
371	0.2464668395
372	0.2460213058
373	0.2459424591
374	0.2458774305
375	0.2455769121
376	0.2451020591
377	0.2448164702
378	0.244478737
379	0.2442231159
380	0.2442042922
381	0.2436540439
382	0.2434118207
383	0.242889638
384	0.2428004239
385	0.2425411438
386	0.2424916573
387	0.2421635169
388	0.2419682251
389	0.2415109584
390	0.2409918537
391	0.2406093471
392	0.2402022949
393	0.2400779282
394	0.2397785362
395	0.2395373629
396	0.2392326601
397	0.2389450369
398	0.2389025011
399	0.2387131436
400	0.2386598546
401	0.2384152981
402	0.2381614436
403	0.2377000342
404	0.2373906348
405	0.2370425208
406	0.2368739994
407	0.2366722371
408	0.2362587181
409	0.2359374521
410	0.2358136408
411	0.2355674153
412	0.2353725633
413	0.2349397893
414	0.2345571494
415	0.2343622559
416	0.2340560073
417	0.23381478
418	0.2335867417
419	0.2333334813
420	0.2331306608
421	0.2328623638
422	0.2326775136
423	0.2321570165
424	0.2319545422
425	0.2316062469
426	0.2312704172
427	0.2312285485
428	0.2308631868
429	0.230734334
430	0.2305502474
431	0.2303745415
432	0.2301360166
433	0.2301050967
434	0.2298083444
435	0.2294676243
436	0.2291083419
437	0.2288868891
438	0.2286606741
439	0.2285120909
440	0.2281441216
441	0.2278287866
442	0.2274967099
443	0.2273416174
444	0.2269286251
445	0.2267256563
446	0.2264018551
447	0.2261511373
448	0.2259506188
449	0.2257699917
450	0.2255479841
451	0.2253893817
452	0.2250830968
453	0.2250405073
454	0.2248873094
455	0.2246881979
456	0.2242799296
457	0.2239498272
458	0.223922115
459	0.2235205918
460	0.2234138061
461	0.2233212364
462	0.2229033103
463	0.2225778994
464	0.2221457436
465	0.2219399396
466	0.2215412772
467	0.2214903908
468	0.2211433249
469	0.2208354672
470	0.2207033529
471	0.2205394138
472	0.2204042266
473	0.220173404
474	0.219890861
475	0.2196512777
476	0.2194376893
477	0.2190501147
478	0.2188389867
479	0.2186027286
480	0.2184392253
481	0.2178994426
