iter	Passed	Remaining
0	257	257519
1	262	130980
2	267	88791
3	273	68162
4	277	55308
5	280	46528
6	282	40067
7	288	35758
8	293	32301
9	298	29506
10	304	27336
11	307	25332
12	312	23697
13	319	22516
14	324	21317
15	329	20259
16	338	19569
17	343	18749
18	350	18116
19	356	17471
20	358	16731
21	366	16304
22	371	15799
23	376	15316
24	383	14975
25	386	14460
26	391	14117
27	398	13829
28	401	13456
29	405	13110
30	408	12768
31	412	12482
32	416	12201
33	420	11934
34	427	11779
35	430	11524
36	432	11244
37	435	11031
38	444	10941
39	450	10811
40	458	10713
41	462	10538
42	465	10363
43	471	10248
44	475	10086
45	478	9930
46	483	9812
47	485	9626
48	488	9485
49	492	9353
50	496	9230
51	502	9158
52	505	9040
53	508	8914
54	510	8777
55	516	8710
56	520	8612
57	524	8513
58	525	8385
59	532	8345
60	538	8294
61	549	8320
62	556	8277
63	565	8276
64	572	8239
65	579	8207
66	584	8143
67	590	8088
68	596	8047
69	601	7991
70	608	7961
71	613	7905
72	618	7853
73	625	7830
74	630	7779
75	635	7727
76	645	7734
77	650	7688
78	657	7664
79	661	7601
80	662	7515
81	665	7455
82	671	7423
83	675	7363
84	677	7290
85	680	7235
86	687	7212
87	688	7137
88	692	7089
89	696	7042
90	702	7019
91	705	6960
92	708	6912
93	712	6867
94	718	6847
95	722	6802
96	726	6760
97	730	6719
98	734	6682
99	737	6639
100	743	6614
101	749	6598
102	755	6575
103	758	6536
104	764	6515
105	768	6477
106	771	6440
107	775	6404
108	780	6382
109	784	6350
110	790	6331
111	795	6308
112	800	6283
113	806	6269
114	812	6249
115	816	6224
116	823	6218
117	827	6188
118	831	6158
119	837	6141
120	838	6094
121	842	6065
122	846	6034
123	849	6004
124	857	6001
125	862	5984
126	869	5976
127	874	5956
128	879	5936
129	885	5926
130	889	5903
131	893	5876
132	897	5852
133	901	5827
134	905	5801
135	909	5775
136	918	5785
137	922	5760
138	926	5738
139	934	5738
140	938	5720
141	953	5759
142	958	5746
143	965	5739
144	969	5714
145	973	5691
146	979	5683
147	983	5659
148	987	5639
149	994	5633
150	998	5613
151	1001	5589
152	1005	5566
153	1010	5550
154	1014	5528
155	1017	5504
156	1021	5484
157	1026	5468
158	1027	5435
159	1031	5414
160	1034	5392
161	1040	5384
162	1045	5366
163	1048	5345
164	1055	5341
165	1060	5325
166	1064	5308
167	1071	5305
168	1074	5284
169	1078	5264
170	1082	5245
171	1087	5233
172	1090	5214
173	1094	5196
174	1100	5188
175	1103	5168
176	1107	5149
177	1110	5130
178	1117	5124
179	1121	5107
180	1124	5089
181	1129	5074
182	1132	5057
183	1136	5039
184	1140	5023
185	1146	5017
186	1151	5004
187	1155	4991
188	1162	4989
189	1168	4982
190	1181	5004
191	1200	5051
192	1206	5044
193	1215	5050
194	1220	5037
195	1228	5040
196	1232	5023
197	1235	5005
198	1242	5001
199	1245	4983
200	1249	4968
201	1253	4951
202	1260	4949
203	1265	4939
204	1269	4924
205	1274	4912
206	1278	4897
207	1281	4881
208	1288	4876
209	1292	4861
210	1295	4844
211	1299	4828
212	1304	4821
213	1308	4805
214	1310	4786
215	1314	4770
216	1319	4762
217	1323	4747
218	1327	4733
219	1330	4717
220	1337	4715
221	1341	4700
222	1344	4685
223	1351	4681
224	1356	4672
225	1362	4665
226	1369	4662
227	1372	4648
228	1376	4635
229	1382	4628
230	1385	4613
231	1389	4601
232	1396	4595
233	1399	4581
234	1404	4572
235	1411	4567
236	1416	4559
237	1421	4550
238	1430	4555
239	1437	4552
240	1449	4566
241	1454	4556
242	1463	4557
243	1466	4544
244	1470	4530
245	1477	4529
246	1481	4515
